Week,Bin,Code,Treat,video,Arena,Fish_ID,Sex,Mark,Size,Camera,Stimulus,Day,Tank,Group_ID,Trial,MeanDist,TotalDist,MeanSpeed,MaxSpeed,MeanFreeze,FreqFreeze,TimeFreeze,PercFreeze,Freq5cm,Time5cm,Freq40cm,Time40cm,FreqNear,TimeNear,FreqMid,TimeMid,FreqFar,PercFar
1,3-6,S1,Neg,Sil,Arena 1,9,F,Yel.Bro,18.743,1,4.3,Tuesday,1,DTNG01,Trial     3,0.242155,1089.7,6.05417,23.7665,4.51977,1,4.51977,0.417575,45,72.2364,0,0,11,167.352,11,12.6394,0,0
1,3-6,S1,Neg,Sil,Arena 1,10,F,Gre.Yel,17.262,1,4.3,Tuesday,1,DTNG01,Trial     1,0.36734,1653.03,9.18397,22.3191,0.039998,1,0.039998,0.00369699,26,46.6777,12,33.5183,17,93.8353,26,34.1583,9,51.9974
1,3-6,S1,Neg,Pred,Arena 1,13,M,Bro.Pin,17.584,2,2.3,Tuesday,5,DTNG01,Trial     4,0.235195,529.19,2.94002,16.3222,23.2994,4,93.1977,8.52044,15,86.9578,0,0,12,165.996,11,13.9996,0,0
1,3-6,S1,Neg,Pred,Arena 1,15,M,Pin._,17.115,2,2.3,Tuesday,5,DTNG01,Trial     2,0.504267,1134.6,6.3035,13.9351,-,0,0,0,12,32.2392,11,30.7192,10,77.7581,22,36.7191,13,65.5184
1,3-6,S1,Neg,Sil,Arena 1,19,F,_.Pin,18.033,1,4.3,Tuesday,1,DTNG02,Trial    11,0.289478,1302.65,7.2373,27.3321,-,0,0,0,28,47.5576,10,12.0794,16,122.754,21,26.6787,6,30.5585
1,3-6,S1,Neg,Sil,Arena 1,24,F,_.Pur,18.46,1,4.3,Tuesday,1,DTNG02,Trial     9,0.306816,1380.67,7.67079,26.9795,-,0,0,0,40,128.354,0,0,7,175.351,6,4.63977,0,0
1,3-6,S1,Neg,Pred,Arena 1,28,M,Ora.Red,14.493,2,2.3,Tuesday,5,DTNG02,Trial     8,0.354156,796.852,4.42707,14.5307,5.55986,2,11.1197,1.0256,10,21.1195,0,0,18,150.316,17,29.6793,0,0
1,3-6,S1,Neg,Pred,Arena 1,31,F,Blu.Gre,17.805,2,2.3,Tuesday,5,DTNG03,Trial    18,0.485584,1092.56,6.06995,13.1027,-,0,0,0,12,24.5594,20,66.4783,8,48.4788,15,31.9192,8,99.5975
1,3-6,S1,Neg,Pred,Arena 1,35,F,Yel.Pin,20.803,2,2.3,Tuesday,5,DTNG03,Trial    16,0.0843864,189.869,1.05486,17.1709,45.5455,3,136.637,12.6359,0,0,0,0,9,159.276,8,20.7195,0,0
1,3-6,S1,Neg,Sil,Arena 1,39,F,Red.Pin,23.218,1,4.3,Tuesday,1,DTNG03,Trial    13,0.245677,1105.54,6.14222,17.9886,0.039998,1,0.039998,0.00367999,15,42.2779,5,26.3987,9,97.5151,17,30.0785,9,52.3974
